,0
0,['G08' 'G10' 'G18' 'G21' 'G23' 'G24' 'G27' 'G32']
1,['G08' 'G10' 'G18' 'G21' 'G23' 'G24' 'G27' 'G32']
2,['G08' 'G10' 'G18' 'G21' 'G23' 'G24' 'G27' 'G32']
3,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
4,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
5,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
6,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
7,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
8,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
9,['G08' 'G10' 'G18' 'G21' 'G23' 'G24' 'G27' 'G32']
10,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
11,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
12,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
13,['G08' 'G10' 'G18' 'G21' 'G23' 'G24' 'G27' 'G32']
14,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
15,['G08' 'G10' 'G23' 'G27' 'G32']
16,['G08' 'G10' 'G23' 'G27' 'G32']
17,['G08' 'G10' 'G18' 'G23' 'G24' 'G27' 'G32']
18,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
19,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
20,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
21,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
22,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
23,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
24,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
25,['G08' 'G10' 'G21' 'G23' 'G27' 'G32']
26,['G08' 'G10' 'G23' 'G27' 'G32']
27,['G08' 'G10' 'G18' 'G23' 'G27' 'G32']
28,['G08' 'G10' 'G18' 'G23' 'G27' 'G32']
29,['G08' 'G10' 'G18' 'G21' 'G23' 'G27' 'G32']
